Gender,AgeRange,HeadSize,BrainWeight
0,0,4512,1530
0,0,3738,1297
0,0,4261,1335
0,0,3777,1282
0,0,4177,1590
0,0,3585,1300
0,0,3785,1400
0,0,3559,1255
0,0,3613,1355
0,0,3982,1375
0,0,3443,1340
0,0,3993,1380
0,0,3640,1355
0,0,4208,1522
0,0,3832,1208
0,0,3876,1405
0,0,3497,1358
0,0,3466,1292
0,0,3095,1340
0,0,4424,1400
0,0,3878,1357
0,0,4046,1287
0,0,3804,1275
0,0,3710,1270
0,0,4747,1635
0,0,4423,1505
0,0,4036,1490
0,0,4022,1485
0,0,3454,1310
0,0,4175,1420
0,0,3787,1318
0,0,3796,1432
0,0,4103,1364
0,0,4161,1405
0,0,4158,1432
0,0,3814,1207
0,0,3527,1375
0,0,3748,1350
0,0,3334,1236
0,0,3492,1250
0,0,3962,1350
0,0,3505,1320
0,0,4315,1525
0,0,3804,1570
0,0,3863,1340
0,0,4034,1422
0,0,4308,1506
0,0,3165,1215
0,0,3641,1311
0,0,3644,1300
0,0,3891,1224
0,0,3793,1350
0,0,4270,1335
0,0,4063,1390
0,0,4012,1400
0,0,3458,1225
0,0,3890,1310
0,1,4166,1560
0,1,3935,1330
0,1,3669,1222
0,1,3866,1415
0,1,3393,1175
0,1,4442,1330
0,1,4253,1485
0,1,3727,1470
0,1,3329,1135
0,1,3415,1310
0,1,3372,1154
0,1,4430,1510
0,1,4381,1415
0,1,4008,1468
0,1,3858,1390
0,1,4121,1380
0,1,4057,1432
0,1,3824,1240
0,1,3394,1195
0,1,3558,1225
0,1,3362,1188
0,1,3930,1252
0,1,3835,1315
0,1,3830,1245
0,1,3856,1430
0,1,3249,1279
0,1,3577,1245
0,1,3933,1309
0,1,3850,1412
0,1,3309,1120
0,1,3406,1220
0,1,3506,1280
0,1,3907,1440
0,1,4160,1370
0,1,3318,1192
0,1,3662,1230
0,1,3899,1346
0,1,3700,1290
0,1,3779,1165
0,1,3473,1240
0,1,3490,1132
0,1,3654,1242
0,1,3478,1270
0,1,3495,1218
0,1,3834,1430
0,1,3876,1588
0,1,3661,1320
0,1,3618,1290
0,1,3648,1260
0,1,4032,1425
0,1,3399,1226
0,1,3916,1360
0,1,4430,1620
0,1,3695,1310
0,1,3524,1250
0,1,3571,1295
0,1,3594,1290
0,1,3383,1290
0,1,3499,1275
0,1,3589,1250
0,1,3900,1270
0,1,4114,1362
0,1,3937,1300
0,1,3399,1173
0,1,4200,1256
0,1,4488,1440
0,1,3614,1180
0,1,4051,1306
0,1,3782,1350
0,1,3391,1125
0,1,3124,1165
0,1,4053,1312
0,1,3582,1300
0,1,3666,1270
0,1,3532,1335
0,1,4046,1450
0,1,3667,1310
1,0,2857,1027
1,0,3436,1235
1,0,3791,1260
1,0,3302,1165
1,0,3104,1080
1,0,3171,1127
1,0,3572,1270
1,0,3530,1252
1,0,3175,1200
1,0,3438,1290
1,0,3903,1334
1,0,3899,1380
1,0,3401,1140
1,0,3267,1243
1,0,3451,1340
1,0,3090,1168
1,0,3413,1322
1,0,3323,1249
1,0,3680,1321
1,0,3439,1192
1,0,3853,1373
1,0,3156,1170
1,0,3279,1265
1,0,3707,1235
1,0,4006,1302
1,0,3269,1241
1,0,3071,1078
1,0,3779,1520
1,0,3548,1460
1,0,3292,1075
1,0,3497,1280
1,0,3082,1180
1,0,3248,1250
1,0,3358,1190
1,0,3803,1374
1,0,3566,1306
1,0,3145,1202
1,0,3503,1240
1,0,3571,1316
1,0,3724,1280
1,0,3615,1350
1,0,3203,1180
1,0,3609,1210
1,0,3561,1127
1,0,3979,1324
1,0,3533,1210
1,0,3689,1290
1,0,3158,1100
1,0,4005,1280
1,0,3181,1175
1,0,3479,1160
1,0,3642,1205
1,0,3632,1163
1,1,3069,1022
1,1,3394,1243
1,1,3703,1350
1,1,3165,1237
1,1,3354,1204
1,1,3000,1090
1,1,3687,1355
1,1,3556,1250
1,1,2773,1076
1,1,3058,1120
1,1,3344,1220
1,1,3493,1240
1,1,3297,1220
1,1,3360,1095
1,1,3228,1235
1,1,3277,1105
1,1,3851,1405
1,1,3067,1150
1,1,3692,1305
1,1,3402,1220
1,1,3995,1296
1,1,3318,1175
1,1,2720,955
1,1,2937,1070
1,1,3580,1320
1,1,2939,1060
1,1,2989,1130
1,1,3586,1250
1,1,3156,1225
1,1,3246,1180
1,1,3170,1178
1,1,3268,1142
1,1,3389,1130
1,1,3381,1185
1,1,2864,1012
1,1,3740,1280
1,1,3479,1103
1,1,3647,1408
1,1,3716,1300
1,1,3284,1246
1,1,4204,1380
1,1,3735,1350
1,1,3218,1060
1,1,3685,1350
1,1,3704,1220
1,1,3214,1110
1,1,3394,1215
1,1,3233,1104
1,1,3352,1170
1,1,3391,1120
